s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 5.7200924E+001, 2.9757181E+001,-8.4183099E+000,-1.4565394E-001,-9.1958771E+000, 8.0207649E-004, 0.0000000E+000, 0.0000000E+000, 1.1543291E+001, 1.1998142E+001, 0.0000000E+000, 1.4174285E-003, 0.0000000E+000, 0.0000000E+000
 5.7602139E+001, 2.9869433E+001,-8.4927457E+000,-1.4682801E-001,-9.2130277E+000, 8.0195412E-004, 0.0000000E+000, 0.0000000E+000, 1.1603368E+001, 1.2017634E+001, 0.0000000E+000, 1.4201288E-003, 0.0000000E+000, 0.0000000E+000
 5.8003464E+001, 2.9746089E+001,-8.4821371E+000,-1.4702650E-001,-9.2954746E+000, 8.0719298E-004, 0.0000000E+000, 0.0000000E+000, 1.1461416E+001, 1.1822258E+001, 0.0000000E+000, 1.4228401E-003, 0.0000000E+000, 0.0000000E+000
 5.8402176E+001, 2.9949108E+001,-8.5368019E+000,-1.5041028E-001,-9.2395719E+000, 8.0447859E-004, 0.0000000E+000, 0.0000000E+000, 1.1843237E+001, 1.2023129E+001, 0.0000000E+000, 1.4255542E-003, 0.0000000E+000, 0.0000000E+000
 5.8803486E+001, 2.9945771E+001,-8.5519340E+000,-1.5000807E-001,-9.2736146E+000, 8.1024956E-004, 0.0000000E+000, 0.0000000E+000, 1.1589319E+001, 1.1971025E+001, 0.0000000E+000, 1.4282632E-003, 0.0000000E+000, 0.0000000E+000
 5.9202389E+001, 2.9992448E+001,-8.6262125E+000,-1.5230713E-001,-9.3804287E+000, 8.0704106E-004, 0.0000000E+000, 0.0000000E+000, 1.1479800E+001, 1.1834307E+001, 0.0000000E+000, 1.4309688E-003, 0.0000000E+000, 0.0000000E+000
 5.9603374E+001, 3.0087372E+001,-8.6481553E+000,-1.5375305E-001,-9.4592258E+000, 8.0682713E-004, 0.0000000E+000, 0.0000000E+000, 1.1479560E+001, 1.1827045E+001, 0.0000000E+000, 1.4336784E-003, 0.0000000E+000, 0.0000000E+000
 6.0005791E+001, 3.0044415E+001,-8.6586032E+000,-1.5284953E-001,-9.4223705E+000, 8.0277083E-004, 0.0000000E+000, 0.0000000E+000, 1.1328631E+001, 1.1811394E+001, 0.0000000E+000, 1.4363966E-003, 0.0000000E+000, 0.0000000E+000
 6.0404396E+001, 3.0171601E+001,-8.7109289E+000,-1.5439549E-001,-9.5161177E+000, 7.9795202E-004, 0.0000000E+000, 0.0000000E+000, 1.1238316E+001, 1.1790957E+001, 0.0000000E+000, 1.4391084E-003, 0.0000000E+000, 0.0000000E+000
 6.0804188E+001, 3.0211362E+001,-8.7349147E+000,-1.5240438E-001,-9.4883674E+000, 7.9884360E-004, 0.0000000E+000, 0.0000000E+000, 1.1223078E+001, 1.1836475E+001, 0.0000000E+000, 1.4418102E-003, 0.0000000E+000, 0.0000000E+000
 6.1203724E+001, 3.0348628E+001,-8.8203350E+000,-1.5215665E-001,-9.5540050E+000, 8.0794721E-004, 0.0000000E+000, 0.0000000E+000, 1.1222344E+001, 1.1822939E+001, 0.0000000E+000, 1.4445180E-003, 0.0000000E+000, 0.0000000E+000
 6.1605980E+001, 3.0370394E+001,-8.8116907E+000,-1.5374346E-001,-9.5512525E+000, 8.0932328E-004, 0.0000000E+000, 0.0000000E+000, 1.1243885E+001, 1.1854517E+001, 0.0000000E+000, 1.4472293E-003, 0.0000000E+000, 0.0000000E+000
 6.2000656E+001, 3.0274712E+001,-8.8461230E+000,-1.4870715E-001,-9.5811116E+000, 8.0144932E-004, 0.0000000E+000, 0.0000000E+000, 1.1028529E+001, 1.1699571E+001, 0.0000000E+000, 1.4499299E-003, 0.0000000E+000, 0.0000000E+000
 6.2404587E+001, 3.0619074E+001,-8.9163809E+000,-1.5305857E-001,-9.6565454E+000, 8.1614630E-004, 0.0000000E+000, 0.0000000E+000, 1.1313377E+001, 1.1893905E+001, 0.0000000E+000, 1.4526320E-003, 0.0000000E+000, 0.0000000E+000
 6.2804977E+001, 3.0421012E+001,-8.9048466E+000,-1.5595804E-001,-9.7066048E+000, 8.1315432E-004, 0.0000000E+000, 0.0000000E+000, 1.1418347E+001, 1.1654415E+001, 0.0000000E+000, 1.4553533E-003, 0.0000000E+000, 0.0000000E+000
 6.3200035E+001, 3.0598661E+001,-8.9756867E+000,-1.5630808E-001,-9.6605171E+000, 8.1666620E-004, 0.0000000E+000, 0.0000000E+000, 1.1555007E+001, 1.1806966E+001, 0.0000000E+000, 1.4580483E-003, 0.0000000E+000, 0.0000000E+000
 6.3602879E+001, 3.0633189E+001,-9.0275292E+000,-1.5753745E-001,-9.7307449E+000, 8.1376362E-004, 0.0000000E+000, 0.0000000E+000, 1.1486284E+001, 1.1718191E+001, 0.0000000E+000, 1.4607454E-003, 0.0000000E+000, 0.0000000E+000
 6.4005043E+001, 3.0778474E+001,-9.0451799E+000,-1.5874527E-001,-9.7916783E+000, 8.2466781E-004, 0.0000000E+000, 0.0000000E+000, 1.1256941E+001, 1.1783696E+001, 0.0000000E+000, 1.4634736E-003, 0.0000000E+000, 0.0000000E+000
 6.4404869E+001, 3.0714632E+001,-9.1106226E+000,-1.5662316E-001,-9.8700683E+000, 8.2573607E-004, 0.0000000E+000, 0.0000000E+000, 1.1126695E+001, 1.1578143E+001, 0.0000000E+000, 1.4661914E-003, 0.0000000E+000, 0.0000000E+000
 6.4805557E+001, 3.0808865E+001,-9.1046589E+000,-1.5928888E-001,-9.9072192E+000, 8.2524707E-004, 0.0000000E+000, 0.0000000E+000, 1.1219070E+001, 1.1638523E+001, 0.0000000E+000, 1.4688961E-003, 0.0000000E+000, 0.0000000E+000
 6.5200920E+001, 3.0866032E+001,-9.1488845E+000,-1.6205412E-001,-9.9707140E+000, 8.2726984E-004, 0.0000000E+000, 0.0000000E+000, 1.1333239E+001, 1.1585207E+001, 0.0000000E+000, 1.4715941E-003, 0.0000000E+000, 0.0000000E+000
