s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"First_Ceiling_Gas_Temperature","Fourth_Ceiling_Gas_Temperature","Second_Ceiling_Gas_Temperature","Third_Ceiling_Gas_Temperature","First_Ceiling_Gas_Temperature1","Fourth_Ceiling_Gas_Temperature1","Second_Ceiling_Gas_Temperature1","Third_Ceiling_Gas_Temperature1","0.5_TREE1_TEMPERATURE_THERMOCOUPLE","0.5_TREE1_THERMOCOUPLE","0.7_TREE1_TEMPERATURE_THERMOCOUPLE","0.7_TREE1_THERMOCOUPLE","0.9_TREE1_TEMPERATURE_THERMOCOUPLE","0.9_TREE1_THERMOCOUPLE","1.2_TREE1_TEMPERATURE_THERMOCOUPLE","1.2_TREE1_THERMOCOUPLE","1.5_TREE1_TEMPERATURE_THERMOCOUPLE","1.5_TREE1_THERMOCOUPLE","0.5_TREE2_TEMPERATURE_THERMOCOUPLE","0.5_TREE2_THERMOCOUPLE","0.7_TREE2_TEMPERATURE_THERMOCOUPLE","0.7_TREE2_THERMOCOUPLE","0.9_TREE2_TEMPERATURE_THERMOCOUPLE","0.9_TREE2_THERMOCOUPLE","1.2_TREE2_TEMPERATURE_THERMOCOUPLE","1.2_TREE2_THERMOCOUPLE","1.5_TREE2_TEMPERATURE_THERMOCOUPLE","1.5_TREE2_THERMOCOUPLE"
 3.6035747E+000, 3.0694808E+001, 2.7018663E+001, 2.7063225E+001, 2.7025838E+001, 2.8242268E+001, 2.7009819E+001, 2.7033951E+001, 2.7013701E+001, 2.7129274E+001, 2.7349123E+001, 2.7090455E+001, 2.7247700E+001, 2.7075431E+001, 2.7205567E+001, 2.7046794E+001, 2.7125360E+001, 2.7033313E+001, 2.7083900E+001, 2.7023175E+001, 2.7054387E+001, 2.7023207E+001, 2.7058776E+001, 2.7014576E+001, 2.7037087E+001, 2.7011644E+001, 2.7028018E+001, 2.7010346E+001, 2.7025484E+001
 4.0022476E+000, 3.2027275E+001, 2.7022755E+001, 2.7076305E+001, 2.7031507E+001, 2.8739827E+001, 2.7012086E+001, 2.7041545E+001, 2.7016883E+001, 2.7151275E+001, 2.7405530E+001, 2.7105724E+001, 2.7288602E+001, 2.7088064E+001, 2.7239717E+001, 2.7055481E+001, 2.7148985E+001, 2.7038909E+001, 2.7100108E+001, 2.7027626E+001, 2.7063430E+001, 2.7027399E+001, 2.7068776E+001, 2.7017346E+001, 2.7043858E+001, 2.7014071E+001, 2.7033481E+001, 2.7012541E+001, 2.7030559E+001
 4.4047089E+000, 3.2456010E+001, 2.7026999E+001, 2.7091021E+001, 2.7037365E+001, 2.8959982E+001, 2.7014479E+001, 2.7049910E+001, 2.7020233E+001, 2.7173113E+001, 2.7461493E+001, 2.7120454E+001, 2.7328272E+001, 2.7100195E+001, 2.7272175E+001, 2.7063940E+001, 2.7171891E+001, 2.7044159E+001, 2.7116089E+001, 2.7032229E+001, 2.7072221E+001, 2.7031492E+001, 2.7078333E+001, 2.7020145E+001, 2.7050614E+001, 2.7016583E+001, 2.7038997E+001, 2.7014832E+001, 2.7035751E+001
 4.8050319E+000, 3.2317972E+001, 2.7030983E+001, 2.7136111E+001, 2.7042849E+001, 2.9001220E+001, 2.7016791E+001, 2.7067594E+001, 2.7023478E+001, 2.7193333E+001, 2.7514116E+001, 2.7133778E+001, 2.7365071E+001, 2.7111439E+001, 2.7302350E+001, 2.7071263E+001, 2.7192272E+001, 2.7048465E+001, 2.7130340E+001, 2.7036936E+001, 2.7080587E+001, 2.7035344E+001, 2.7087232E+001, 2.7022679E+001, 2.7056631E+001, 2.7019023E+001, 2.7044105E+001, 2.7017034E+001, 2.7040588E+001
 5.2049449E+000, 3.2052466E+001, 2.7035092E+001, 2.7314995E+001, 2.7048515E+001, 2.8990725E+001, 2.7019220E+001, 2.7127374E+001, 2.7026904E+001, 2.7212573E+001, 2.7564923E+001, 2.7146434E+001, 2.7400728E+001, 2.7122349E+001, 2.7331695E+001, 2.7078271E+001, 2.7212605E+001, 2.7052561E+001, 2.7144649E+001, 2.7041935E+001, 2.7089013E+001, 2.7039297E+001, 2.7096407E+001, 2.7025286E+001, 2.7062806E+001, 2.7021564E+001, 2.7049251E+001, 2.7019322E+001, 2.7045553E+001
 5.6030450E+000, 3.1802153E+001, 2.7039424E+001, 2.7664390E+001, 2.7054836E+001, 2.8973587E+001, 2.7021821E+001, 2.7243051E+001, 2.7030707E+001, 2.7231543E+001, 2.7615647E+001, 2.7159162E+001, 2.7436482E+001, 2.7133280E+001, 2.7361112E+001, 2.7085035E+001, 2.7232868E+001, 2.7056641E+001, 2.7159152E+001, 2.7047135E+001, 2.7097616E+001, 2.7043254E+001, 2.7105683E+001, 2.7028047E+001, 2.7069350E+001, 2.7024232E+001, 2.7054631E+001, 2.7021713E+001, 2.7050722E+001
 6.0025726E+000, 3.1565717E+001, 2.7043696E+001, 2.8001103E+001, 2.7073750E+001, 2.8954510E+001, 2.7024465E+001, 2.7359166E+001, 2.7038446E+001, 2.7249506E+001, 2.7664637E+001, 2.7171069E+001, 2.7469563E+001, 2.7143665E+001, 2.7388786E+001, 2.7091730E+001, 2.7252022E+001, 2.7060883E+001, 2.7173001E+001, 2.7052424E+001, 2.7106271E+001, 2.7047044E+001, 2.7114758E+001, 2.7030614E+001, 2.7075280E+001, 2.7026897E+001, 2.7059904E+001, 2.7024132E+001, 2.7055773E+001
 6.4046721E+000, 3.1347313E+001, 2.7048031E+001, 2.8162386E+001, 2.7282895E+001, 2.8935482E+001, 2.7027229E+001, 2.7422949E+001, 2.7103905E+001, 2.7267091E+001, 2.7714242E+001, 2.7183062E+001, 2.7503037E+001, 2.7153625E+001, 2.7416200E+001, 2.7098327E+001, 2.7270657E+001, 2.7065380E+001, 2.7186449E+001, 2.7057728E+001, 2.7114661E+001, 2.7050699E+001, 2.7123689E+001, 2.7033292E+001, 2.7081336E+001, 2.7029549E+001, 2.7064999E+001, 2.7026739E+001, 2.7060861E+001
 6.8044477E+000, 3.1142180E+001, 2.7054981E+001, 2.8217613E+001, 2.8142107E+001, 2.8917282E+001, 2.7030893E+001, 2.7453345E+001, 2.7372043E+001, 2.7283175E+001, 2.7760673E+001, 2.7194735E+001, 2.7535222E+001, 2.7162814E+001, 2.7442926E+001, 2.7104786E+001, 2.7288747E+001, 2.7069948E+001, 2.7199772E+001, 2.7062946E+001, 2.7123019E+001, 2.7054104E+001, 2.7132327E+001, 2.7035928E+001, 2.7087128E+001, 2.7032256E+001, 2.7070136E+001, 2.7029461E+001, 2.7065898E+001
 7.2035632E+000, 3.0927770E+001, 2.7139635E+001, 2.8240438E+001, 2.9340216E+001, 2.8896117E+001, 2.7058148E+001, 2.7474192E+001, 2.7771588E+001, 2.7299298E+001, 2.7807541E+001, 2.7206814E+001, 2.7567688E+001, 2.7171729E+001, 2.7469598E+001, 2.7111924E+001, 2.7306952E+001, 2.7075506E+001, 2.7213317E+001, 2.7068029E+001, 2.7131237E+001, 2.7057298E+001, 2.7140667E+001, 2.7038668E+001, 2.7092973E+001, 2.7035082E+001, 2.7075269E+001, 2.7032054E+001, 2.7070980E+001
 7.6006629E+000, 3.0746805E+001, 2.7699107E+001, 2.8251133E+001, 3.0313728E+001, 2.8878543E+001, 2.7229094E+001, 2.7491243E+001, 2.8124220E+001, 2.7313485E+001, 2.7850562E+001, 2.7217723E+001, 2.7597409E+001, 2.7179552E+001, 2.7494453E+001, 2.7118928E+001, 2.7324073E+001, 2.7081294E+001, 2.7226370E+001, 2.7072916E+001, 2.7139393E+001, 2.7060279E+001, 2.7148917E+001, 2.7041406E+001, 2.7098676E+001, 2.7038051E+001, 2.7080397E+001, 2.7052164E+001, 2.7076258E+001
 8.0004879E+000, 3.0568494E+001, 2.8654596E+001, 2.8263467E+001, 3.1032715E+001, 2.8860888E+001, 2.7527800E+001, 2.7509242E+001, 2.8405470E+001, 2.7327788E+001, 2.7894045E+001, 2.7229136E+001, 2.7628918E+001, 2.7187236E+001, 2.7520285E+001, 2.7126671E+001, 2.7342648E+001, 2.7087701E+001, 2.7240476E+001, 2.7077690E+001, 2.7147422E+001, 2.7063092E+001, 2.7156921E+001, 2.7044339E+001, 2.7104754E+001, 2.7041313E+001, 2.7085833E+001, 2.7653087E+001, 2.7094199E+001
 8.4029895E+000, 3.0379768E+001, 2.9569737E+001, 2.8280479E+001, 3.1526342E+001, 2.8840186E+001, 2.7822476E+001, 2.7528898E+001, 2.8619388E+001, 2.7341047E+001, 2.7932850E+001, 2.7238503E+001, 2.7654485E+001, 2.7193717E+001, 2.7541996E+001, 2.7133876E+001, 2.7358135E+001, 2.7093970E+001, 2.7252662E+001, 2.7082354E+001, 2.7155307E+001, 2.7065788E+001, 2.7164636E+001, 2.7047031E+001, 2.7110055E+001, 2.7044554E+001, 2.7090953E+001, 3.2226592E+001, 2.7250733E+001
 8.8048513E+000, 3.0211092E+001, 3.0584068E+001, 2.8310717E+001, 3.1740773E+001, 2.8821222E+001, 2.8175969E+001, 2.7553385E+001, 2.8745676E+001, 2.7356308E+001, 2.7974878E+001, 2.7249694E+001, 2.7685019E+001, 2.7201821E+001, 2.7567141E+001, 2.7142124E+001, 2.7376103E+001, 2.7101044E+001, 2.7266451E+001, 2.7087067E+001, 2.7163610E+001, 2.7068791E+001, 2.7172820E+001, 2.7050113E+001, 2.7116313E+001, 2.7050516E+001, 2.7096739E+001, 3.8825320E+001, 2.7759976E+001
 9.2008270E+000, 3.0040828E+001, 3.1532691E+001, 2.8365996E+001, 3.1783833E+001, 2.8800699E+001, 2.8520243E+001, 2.7585838E+001, 2.8812579E+001, 2.7371686E+001, 2.8014501E+001, 2.7260332E+001, 2.7714162E+001, 2.7210430E+001, 2.7590818E+001, 2.7150265E+001, 2.7393645E+001, 2.7107804E+001, 2.7279646E+001, 2.7091423E+001, 2.7171250E+001, 2.7071779E+001, 2.7180418E+001, 2.7053037E+001, 2.7122112E+001, 2.7136588E+001, 2.7103749E+001, 4.0896121E+001, 2.8478343E+001
 9.6005666E+000, 2.9881247E+001, 3.2367180E+001, 2.8495975E+001, 3.1868504E+001, 2.8781225E+001, 2.8829062E+001, 2.7641231E+001, 2.8887941E+001, 2.7386519E+001, 2.8050865E+001, 2.7269274E+001, 2.7741332E+001, 2.7219060E+001, 2.7612899E+001, 2.7157361E+001, 2.7410169E+001, 2.7114250E+001, 2.7292194E+001, 2.7095493E+001, 2.7178422E+001, 2.7074688E+001, 2.7187466E+001, 2.7055977E+001, 2.7127825E+001, 2.7548362E+001, 2.7121875E+001, 4.1288996E+001, 2.9123479E+001
 1.0000353E+001, 2.9748195E+001, 3.3112777E+001, 2.8896492E+001, 3.2240103E+001, 2.8765462E+001, 2.9111200E+001, 2.7781724E+001, 2.9055477E+001, 2.7401256E+001, 2.8085479E+001, 2.7276838E+001, 2.7766029E+001, 2.7227715E+001, 2.7633401E+001, 2.7163152E+001, 2.7425471E+001, 2.7120857E+001, 2.7304037E+001, 2.7099464E+001, 2.7185558E+001, 2.7077684E+001, 2.7194222E+001, 2.7059109E+001, 2.7133442E+001, 2.7767195E+001, 2.7154260E+001, 4.0790648E+001, 2.9656782E+001
 1.0404162E+001, 2.9641503E+001, 3.3804569E+001, 2.9657396E+001, 3.3082036E+001, 2.8754045E+001, 2.9384875E+001, 2.8038997E+001, 2.9376346E+001, 2.7416947E+001, 2.8120513E+001, 2.7285009E+001, 2.7791097E+001, 2.7237758E+001, 2.7654407E+001, 2.7168479E+001, 2.7440479E+001, 2.7129372E+001, 2.7315944E+001, 2.7103625E+001, 2.7192836E+001, 2.7081300E+001, 2.7201565E+001, 2.7062920E+001, 2.7139548E+001, 2.7524514E+001, 2.7185154E+001, 3.9272462E+001, 3.0206818E+001
 1.0803972E+001, 2.9560014E+001, 3.4441083E+001, 3.0500532E+001, 3.4261811E+001, 2.8748550E+001, 2.9652688E+001, 2.8330212E+001, 2.9815653E+001, 2.7433730E+001, 2.8156233E+001, 2.7294523E+001, 2.7816809E+001, 2.7249940E+001, 2.7676263E+001, 2.7174335E+001, 2.7456391E+001, 2.7142360E+001, 2.7328912E+001, 2.7108067E+001, 2.7200152E+001, 2.7085414E+001, 2.7208697E+001, 2.7067283E+001, 2.7145771E+001, 2.7276397E+001, 2.7203422E+001, 3.7232962E+001, 3.0689895E+001
 1.1202024E+001, 2.9520570E+001, 3.5045083E+001, 3.1403717E+001, 3.5460812E+001, 2.8756079E+001, 2.9917198E+001, 2.8650483E+001, 3.0274522E+001, 2.7449678E+001, 2.8188742E+001, 2.7304623E+001, 2.7840770E+001, 2.7263353E+001, 2.7696818E+001, 2.7179980E+001, 2.7471047E+001, 2.7169052E+001, 2.7341975E+001, 2.7112573E+001, 2.7207061E+001, 2.7089853E+001, 2.7215675E+001, 2.7071859E+001, 2.7151978E+001, 2.7176968E+001, 2.7212516E+001, 3.4751475E+001, 3.1020539E+001
 1.1600585E+001, 2.9922374E+001, 3.5643417E+001, 3.2489705E+001, 3.6536814E+001, 2.8901894E+001, 3.0188616E+001, 2.9043048E+001, 3.0698929E+001, 2.7466925E+001, 2.8223003E+001, 2.7317436E+001, 2.7865408E+001, 2.7278945E+001, 2.7718154E+001, 2.7186328E+001, 2.7485953E+001, 2.7248363E+001, 2.7357698E+001, 2.7117387E+001, 2.7214278E+001, 2.7094682E+001, 2.7222828E+001, 2.7076550E+001, 2.7158334E+001, 2.7143607E+001, 2.7218450E+001, 3.1658079E+001, 3.1146689E+001
 1.2002436E+001, 3.1070044E+001, 3.6193915E+001, 3.3741029E+001, 3.7496923E+001, 2.9280924E+001, 3.0452613E+001, 2.9508129E+001, 3.1091401E+001, 2.7483289E+001, 2.8255061E+001, 2.7331257E+001, 2.7887819E+001, 2.7295470E+001, 2.7737381E+001, 2.7197046E+001, 2.7499105E+001, 2.7490203E+001, 2.7380040E+001, 2.7122142E+001, 2.7221057E+001, 2.7099406E+001, 2.7229646E+001, 2.7080961E+001, 2.7164486E+001, 2.7131287E+001, 2.7223162E+001, 2.9440177E+001, 3.1103273E+001
 1.2403076E+001, 3.2573419E+001, 3.6667194E+001, 3.5005353E+001, 3.8328210E+001, 2.9779899E+001, 3.0695478E+001, 2.9997470E+001, 3.1453760E+001, 2.7498914E+001, 2.8285198E+001, 2.7346395E+001, 2.7908531E+001, 2.7312355E+001, 2.7755859E+001, 2.7214439E+001, 2.7512234E+001, 2.8241340E+001, 2.7426555E+001, 2.7126847E+001, 2.7227824E+001, 2.7103886E+001, 2.7236198E+001, 2.7084985E+001, 2.7170350E+001, 2.7127447E+001, 2.7227668E+001, 2.8577422E+001, 3.0984536E+001
 1.2800054E+001, 3.4419644E+001, 3.7100720E+001, 3.6177254E+001, 3.9012483E+001, 3.0429097E+001, 3.0931275E+001, 3.0472133E+001, 3.1781849E+001, 2.7514659E+001, 2.8314966E+001, 2.7364195E+001, 2.7930802E+001, 2.7330690E+001, 2.7775083E+001, 2.7238365E+001, 2.7526410E+001, 3.0219401E+001, 2.7540691E+001, 2.7131233E+001, 2.7234209E+001, 2.7108171E+001, 2.7242581E+001, 2.7088841E+001, 2.7176324E+001, 2.7129022E+001, 2.7232157E+001, 2.8440099E+001, 3.0858769E+001
 1.3205281E+001, 3.6103982E+001, 3.7528624E+001, 3.7257199E+001, 3.9652192E+001, 3.1080447E+001, 3.1178242E+001, 3.0927111E+001, 3.2105071E+001, 2.7529749E+001, 2.8344573E+001, 2.7383118E+001, 2.7951610E+001, 2.7348833E+001, 2.7793692E+001, 2.7265586E+001, 2.7541398E+001, 3.3397517E+001, 2.7791972E+001, 2.7135363E+001, 2.7240796E+001, 2.7112295E+001, 2.7249120E+001, 2.7092592E+001, 2.7182200E+001, 2.7136294E+001, 2.7236799E+001, 2.8607699E+001, 3.0751123E+001
 1.3602694E+001, 3.7326482E+001, 3.7976615E+001, 3.8237623E+001, 4.0293304E+001, 3.1600808E+001, 3.1440813E+001, 3.1353277E+001, 3.2432195E+001, 2.7541879E+001, 2.8371240E+001, 2.7401392E+001, 2.7971343E+001, 2.7364092E+001, 2.7811156E+001, 2.7294552E+001, 2.7556938E+001, 3.5983479E+001, 2.8199612E+001, 2.7138785E+001, 2.7246931E+001, 2.7115877E+001, 2.7254941E+001, 2.7096341E+001, 2.7187732E+001, 2.7152174E+001, 2.7241617E+001, 2.9274968E+001, 3.0664860E+001
 1.4000613E+001, 3.8371419E+001, 3.8548195E+001, 3.9177441E+001, 4.0911276E+001, 3.2070164E+001, 3.1741771E+001, 3.1771831E+001, 3.2746813E+001, 2.7555101E+001, 2.8402558E+001, 2.7421484E+001, 2.7994342E+001, 2.7379097E+001, 2.7831164E+001, 2.7325595E+001, 2.7574590E+001, 3.6937648E+001, 2.8697078E+001, 2.7141953E+001, 2.7253802E+001, 2.7119953E+001, 2.7262323E+001, 2.7100553E+001, 2.7194047E+001, 2.7184865E+001, 2.7247469E+001, 3.2382501E+001, 3.0658852E+001
 1.4400064E+001, 3.9314316E+001, 3.9233979E+001, 4.0139584E+001, 4.1510036E+001, 3.2513591E+001, 3.2085059E+001, 3.2207258E+001, 3.3052540E+001, 2.7567098E+001, 2.8432300E+001, 2.7442557E+001, 2.8017215E+001, 2.7395598E+001, 2.7851674E+001, 2.7359297E+001, 2.7594979E+001, 3.6519562E+001, 2.9190553E+001, 2.7144725E+001, 2.7260660E+001, 2.7123780E+001, 2.7269153E+001, 2.7104971E+001, 2.7200269E+001, 2.7249152E+001, 2.7255966E+001, 4.1008029E+001, 3.1023865E+001
 1.4800727E+001, 4.0108850E+001, 3.9934873E+001, 4.1019602E+001, 4.2126516E+001, 3.2904068E+001, 3.2444297E+001, 3.2625080E+001, 3.3374678E+001, 2.7576675E+001, 2.8460910E+001, 2.7463438E+001, 2.8041265E+001, 2.7413576E+001, 2.7872490E+001, 2.7396316E+001, 2.7616123E+001, 3.5834184E+001, 2.9634176E+001, 2.7147177E+001, 2.7267014E+001, 2.7127312E+001, 2.7275686E+001, 2.7109604E+001, 2.7206444E+001, 2.7354703E+001, 2.7268567E+001, 4.6757704E+001, 3.1853361E+001
 1.5202468E+001, 4.0844901E+001, 4.0661873E+001, 4.1786267E+001, 4.2751153E+001, 3.3288319E+001, 3.2814277E+001, 3.3018905E+001, 3.3708376E+001, 2.7584771E+001, 2.8486956E+001, 2.7483602E+001, 2.8063382E+001, 2.7433539E+001, 2.7892135E+001, 2.7433588E+001, 2.7637431E+001, 3.4676334E+001, 3.0007948E+001, 2.7149717E+001, 2.7272940E+001, 2.7130502E+001, 2.7281767E+001, 2.7114412E+001, 2.7212309E+001, 2.7512641E+001, 2.7287204E+001, 4.9898584E+001, 3.2815232E+001
 1.5605437E+001, 4.1617369E+001, 4.1347342E+001, 4.2464225E+001, 4.3347780E+001, 3.3704571E+001, 3.3170032E+001, 3.3395912E+001, 3.4024737E+001, 2.7591569E+001, 2.8510288E+001, 2.7503558E+001, 2.8084301E+001, 2.7455474E+001, 2.7911282E+001, 2.7469263E+001, 2.7658879E+001, 3.3218067E+001, 3.0263246E+001, 2.7152501E+001, 2.7278730E+001, 2.7133124E+001, 2.7287540E+001, 2.7119605E+001, 2.7218064E+001, 2.7718126E+001, 2.7313348E+001, 5.1312633E+001, 3.3858204E+001
 1.6000600E+001, 4.2446258E+001, 4.1977521E+001, 4.3078932E+001, 4.3958994E+001, 3.4160538E+001, 3.3517627E+001, 3.3758432E+001, 3.4347496E+001, 2.7598350E+001, 2.8534915E+001, 2.7523264E+001, 2.8106938E+001, 2.7479402E+001, 2.7932596E+001, 2.7507735E+001, 2.7682387E+001, 3.2585193E+001, 3.0428202E+001, 2.7155767E+001, 2.7285031E+001, 2.7135668E+001, 2.7294128E+001, 2.7125613E+001, 2.7224599E+001, 2.7848461E+001, 2.7344946E+001, 5.1463925E+001, 3.4864810E+001
 1.6404254E+001, 4.3052871E+001, 4.2744621E+001, 4.3679337E+001, 4.4620993E+001, 3.4538196E+001, 3.3923368E+001, 3.4127399E+001, 3.4716455E+001, 2.7605392E+001, 2.8559728E+001, 2.7541974E+001, 2.8129662E+001, 2.7504583E+001, 2.7954440E+001, 2.7550048E+001, 2.7707118E+001, 3.2657354E+001, 3.0566140E+001, 2.7159398E+001, 2.7291551E+001, 2.7138314E+001, 2.7300899E+001, 2.7132149E+001, 2.7231340E+001, 2.7835845E+001, 2.7378407E+001, 5.1050641E+001, 3.5732894E+001
 1.6800504E+001, 4.3497708E+001, 4.3704434E+001, 4.4262612E+001, 4.5257165E+001, 3.4847260E+001, 3.4375227E+001, 3.4500480E+001, 3.5100235E+001, 2.7614141E+001, 2.8585039E+001, 2.7562248E+001, 2.8154796E+001, 2.7533310E+001, 2.7978019E+001, 2.7597043E+001, 2.7733706E+001, 3.3382670E+001, 3.0719462E+001, 2.7163259E+001, 2.7297902E+001, 2.7141597E+001, 2.7307677E+001, 2.7139112E+001, 2.7238542E+001, 2.7726937E+001, 2.7408861E+001, 4.9555514E+001, 3.6452761E+001
