s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-6.6895541E-002,-1.5109613E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6895542E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0549611E-001, 1.0548464E+001,-3.1696941E+000,-2.1925446E-002,-3.3515127E-001, 2.3530813E-004, 0.0000000E+000, 0.0000000E+000, 6.6358476E+000, 7.0219287E+000, 0.0000000E+000, 5.9788921E-004, 0.0000000E+000, 0.0000000E+000
 1.2026668E+000, 1.3341134E+001,-2.3537217E+000,-7.2889635E-002,-4.1634131E-001, 3.1389673E-004, 0.0000000E+000, 0.0000000E+000, 1.0436700E+001, 1.0498495E+001, 0.0000000E+000, 5.9810536E-004, 0.0000000E+000, 0.0000000E+000
 1.8025814E+000, 1.2680577E+001,-2.1822951E+000,-6.6025105E-002,-4.9367026E-001, 2.9839838E-004, 0.0000000E+000, 0.0000000E+000, 9.8267399E+000, 9.9388844E+000, 0.0000000E+000, 5.9832185E-004, 0.0000000E+000, 0.0000000E+000
 2.4000990E+000, 1.2481940E+001,-2.1872620E+000,-6.3516852E-002,-6.7992159E-001, 3.1149947E-004, 0.0000000E+000, 0.0000000E+000, 9.4826602E+000, 9.5515511E+000, 0.0000000E+000, 5.9853846E-004, 0.0000000E+000, 0.0000000E+000
 3.0006340E+000, 1.2649739E+001,-2.2303892E+000,-6.5686884E-002,-7.8452223E-001, 3.1642862E-004, 0.0000000E+000, 0.0000000E+000, 9.5785156E+000, 9.5694574E+000, 0.0000000E+000, 5.9875576E-004, 0.0000000E+000, 0.0000000E+000
 3.6021433E+000, 1.2564361E+001,-2.2200542E+000,-6.4312140E-002,-8.4713786E-001, 3.1564966E-004, 0.0000000E+000, 0.0000000E+000, 9.4085405E+000, 9.4331727E+000, 0.0000000E+000, 5.9897332E-004, 0.0000000E+000, 0.0000000E+000
 4.2003179E+000, 1.2507895E+001,-2.2385899E+000,-6.1373843E-002,-9.3534405E-001, 3.1627254E-004, 0.0000000E+000, 0.0000000E+000, 9.2365660E+000, 9.2729031E+000, 0.0000000E+000, 5.9919054E-004, 0.0000000E+000, 0.0000000E+000
 4.8016887E+000, 1.2596869E+001,-2.2609431E+000,-6.1977510E-002,-1.0403312E+000, 3.1793469E-004, 0.0000000E+000, 0.0000000E+000, 9.1845949E+000, 9.2339348E+000, 0.0000000E+000, 5.9940806E-004, 0.0000000E+000, 0.0000000E+000
