s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_WATER VAPOR
 1.2600828E+001, 1.2222044E+001,-2.2903859E+000,-5.6102797E-002,-1.7449978E+000, 3.4562729E-004, 0.0000000E+000, 0.0000000E+000, 7.9589594E+000, 8.1309036E+000, 0.0000000E+000, 5.8306854E-004, 0.0000000E+000, 0.0000000E+000
 1.3206676E+001, 1.2253622E+001,-2.3115515E+000,-5.4157696E-002,-1.7599764E+000, 3.4641960E-004, 0.0000000E+000, 0.0000000E+000, 7.8712650E+000, 8.1282829E+000, 0.0000000E+000, 5.8368650E-004, 0.0000000E+000, 0.0000000E+000
 1.3806422E+001, 1.2267031E+001,-2.3241064E+000,-5.3897758E-002,-1.7677875E+000, 3.5054023E-004, 0.0000000E+000, 0.0000000E+000, 7.8595071E+000, 8.1215894E+000, 0.0000000E+000, 5.8430355E-004, 0.0000000E+000, 0.0000000E+000
 1.4403396E+001, 1.2271709E+001,-2.3455432E+000,-5.4873564E-002,-1.7586622E+000, 3.4830141E-004, 0.0000000E+000, 0.0000000E+000, 7.8832943E+000, 8.1129780E+000, 0.0000000E+000, 5.8491752E-004, 0.0000000E+000, 0.0000000E+000
 1.5004303E+001, 1.2270598E+001,-2.3547651E+000,-5.4312014E-002,-1.7610202E+000, 3.5123726E-004, 0.0000000E+000, 0.0000000E+000, 7.8314983E+000, 8.1008524E+000, 0.0000000E+000, 5.8553293E-004, 0.0000000E+000, 0.0000000E+000
 1.5603387E+001, 1.2298801E+001,-2.3758118E+000,-5.4795586E-002,-1.7831707E+000, 3.5218837E-004, 0.0000000E+000, 0.0000000E+000, 7.8403014E+000, 8.0853753E+000, 0.0000000E+000, 5.8614813E-004, 0.0000000E+000, 0.0000000E+000
 1.6202606E+001, 1.2304708E+001,-2.3917154E+000,-5.4762115E-002,-1.8057183E+000, 3.4529441E-004, 0.0000000E+000, 0.0000000E+000, 7.7941222E+000, 8.0528572E+000, 0.0000000E+000, 5.8676326E-004, 0.0000000E+000, 0.0000000E+000
 1.6802818E+001, 1.2306294E+001,-2.3968591E+000,-5.3703218E-002,-1.8615925E+000, 3.4896523E-004, 0.0000000E+000, 0.0000000E+000, 7.6645333E+000, 7.9944884E+000, 0.0000000E+000, 5.8738046E-004, 0.0000000E+000, 0.0000000E+000
 1.7407709E+001, 1.2332717E+001,-2.4253043E+000,-5.3923651E-002,-1.8969154E+000, 3.4888933E-004, 0.0000000E+000, 0.0000000E+000, 7.7554506E+000, 7.9569228E+000, 0.0000000E+000, 5.8799712E-004, 0.0000000E+000, 0.0000000E+000
 1.8007624E+001, 1.2361277E+001,-2.4465168E+000,-5.4010132E-002,-1.9629291E+000, 3.4855540E-004, 0.0000000E+000, 0.0000000E+000, 7.6120403E+000, 7.8981697E+000, 0.0000000E+000, 5.8861602E-004, 0.0000000E+000, 0.0000000E+000
 1.8601679E+001, 1.2355463E+001,-2.4548854E+000,-5.3230144E-002,-1.9984955E+000, 3.4908637E-004, 0.0000000E+000, 0.0000000E+000, 7.5648801E+000, 7.8492005E+000, 0.0000000E+000, 5.8922774E-004, 0.0000000E+000, 0.0000000E+000
 1.9206978E+001, 1.2389925E+001,-2.4803638E+000,-5.3559379E-002,-2.0638128E+000, 3.5021428E-004, 0.0000000E+000, 0.0000000E+000, 7.6080317E+000, 7.7925397E+000, 0.0000000E+000, 5.8984342E-004, 0.0000000E+000, 0.0000000E+000
 1.9801941E+001, 1.2372563E+001,-2.4908181E+000,-5.1847893E-002,-2.1016890E+000, 3.5487628E-004, 0.0000000E+000, 0.0000000E+000, 7.4716309E+000, 7.7285629E+000, 0.0000000E+000, 5.9045943E-004, 0.0000000E+000, 0.0000000E+000
 2.0403923E+001, 1.2390430E+001,-2.5110499E+000,-5.2505425E-002,-2.1643837E+000, 3.5302533E-004, 0.0000000E+000, 0.0000000E+000, 7.4714747E+000, 7.6628437E+000, 0.0000000E+000, 5.9107384E-004, 0.0000000E+000, 0.0000000E+000
