s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"First_Ceiling_Gas_Temperature","Fourth_Ceiling_Gas_Temperature","Second_Ceiling_Gas_Temperature","Third_Ceiling_Gas_Temperature","First_Ceiling_Gas_Temperature1","Fourth_Ceiling_Gas_Temperature1","Second_Ceiling_Gas_Temperature1","Third_Ceiling_Gas_Temperature1","0.5_TREE1_TEMPERATURE_THERMOCOUPLE","0.5_TREE1_THERMOCOUPLE","0.7_TREE1_TEMPERATURE_THERMOCOUPLE","0.7_TREE1_THERMOCOUPLE","0.9_TREE1_TEMPERATURE_THERMOCOUPLE","0.9_TREE1_THERMOCOUPLE","1.2_TREE1_TEMPERATURE_THERMOCOUPLE","1.2_TREE1_THERMOCOUPLE","1.5_TREE1_TEMPERATURE_THERMOCOUPLE","1.5_TREE1_THERMOCOUPLE","0.5_TREE2_TEMPERATURE_THERMOCOUPLE","0.5_TREE2_THERMOCOUPLE","0.7_TREE2_TEMPERATURE_THERMOCOUPLE","0.7_TREE2_THERMOCOUPLE","0.9_TREE2_TEMPERATURE_THERMOCOUPLE","0.9_TREE2_THERMOCOUPLE","1.2_TREE2_TEMPERATURE_THERMOCOUPLE","1.2_TREE2_THERMOCOUPLE","1.5_TREE2_TEMPERATURE_THERMOCOUPLE","1.5_TREE2_THERMOCOUPLE"
 3.6035936E+000, 2.8477727E+001, 2.7012060E+001, 2.7041750E+001, 2.7016751E+001, 2.7499262E+001, 2.7006330E+001, 2.7022439E+001, 2.7008872E+001, 2.7089964E+001, 2.7243251E+001, 2.7060652E+001, 2.7166616E+001, 2.7050732E+001, 2.7137509E+001, 2.7031168E+001, 2.7082426E+001, 2.7023102E+001, 2.7055701E+001, 2.7015986E+001, 2.7037673E+001, 2.7016240E+001, 2.7040924E+001, 2.7009770E+001, 2.7024625E+001, 2.7007762E+001, 2.7018380E+001, 2.7006942E+001, 2.7016899E+001
 4.0008839E+000, 2.9724661E+001, 2.7014621E+001, 2.7049862E+001, 2.7020279E+001, 2.7949161E+001, 2.7007756E+001, 2.7027206E+001, 2.7010866E+001, 2.7104367E+001, 2.7280041E+001, 2.7069953E+001, 2.7191688E+001, 2.7058394E+001, 2.7158389E+001, 2.7036303E+001, 2.7096731E+001, 2.7026858E+001, 2.7065710E+001, 2.7018964E+001, 2.7043574E+001, 2.7018936E+001, 2.7047215E+001, 2.7011486E+001, 2.7028722E+001, 2.7009375E+001, 2.7021859E+001, 2.7008377E+001, 2.7020097E+001
 4.4055345E+000, 3.0223322E+001, 2.7017263E+001, 2.7067822E+001, 2.7023935E+001, 2.8171868E+001, 2.7009251E+001, 2.7035206E+001, 2.7012969E+001, 2.7118823E+001, 2.7316568E+001, 2.7079520E+001, 2.7217276E+001, 2.7066345E+001, 2.7179524E+001, 2.7041567E+001, 2.7111100E+001, 2.7030377E+001, 2.7075788E+001, 2.7022038E+001, 2.7049362E+001, 2.7021620E+001, 2.7053347E+001, 2.7013263E+001, 2.7032925E+001, 2.7011025E+001, 2.7025344E+001, 2.7009865E+001, 2.7023358E+001
 4.8005001E+000, 3.0186192E+001, 2.7019883E+001, 2.7283762E+001, 2.7027583E+001, 2.8214970E+001, 2.7010766E+001, 2.7104014E+001, 2.7015116E+001, 2.7132812E+001, 2.7351759E+001, 2.7088365E+001, 2.7240945E+001, 2.7073912E+001, 2.7199206E+001, 2.7046550E+001, 2.7124625E+001, 2.7033459E+001, 2.7085406E+001, 2.7025225E+001, 2.7055053E+001, 2.7024237E+001, 2.7059227E+001, 2.7014958E+001, 2.7036842E+001, 2.7012694E+001, 2.7028759E+001, 2.7011370E+001, 2.7026581E+001
 5.2018081E+000, 3.0038469E+001, 2.7022484E+001, 2.7911565E+001, 2.7031234E+001, 2.8209752E+001, 2.7012304E+001, 2.7300059E+001, 2.7017320E+001, 2.7146326E+001, 2.7386071E+001, 2.7096802E+001, 2.7263860E+001, 2.7081306E+001, 2.7218297E+001, 2.7051121E+001, 2.7137324E+001, 2.7036052E+001, 2.7094505E+001, 2.7028560E+001, 2.7060736E+001, 2.7026895E+001, 2.7065212E+001, 2.7016671E+001, 2.7040771E+001, 2.7014372E+001, 2.7032070E+001, 2.7012898E+001, 2.7029791E+001
 5.6056723E+000, 2.9880193E+001, 2.7025283E+001, 2.8610114E+001, 2.7035611E+001, 2.8198476E+001, 2.7013981E+001, 2.7527423E+001, 2.7019881E+001, 2.7159909E+001, 2.7420822E+001, 2.7105348E+001, 2.7287087E+001, 2.7088896E+001, 2.7237905E+001, 2.7055839E+001, 2.7150509E+001, 2.7038785E+001, 2.7103969E+001, 2.7032172E+001, 2.7066744E+001, 2.7029624E+001, 2.7071363E+001, 2.7018465E+001, 2.7044823E+001, 2.7016187E+001, 2.7035590E+001, 2.7014540E+001, 2.7033196E+001
 6.0047691E+000, 2.9733457E+001, 2.7028136E+001, 2.9240674E+001, 2.7072683E+001, 2.8187220E+001, 2.7015729E+001, 2.7747216E+001, 2.7032457E+001, 2.7173077E+001, 2.7455001E+001, 2.7113787E+001, 2.7309876E+001, 2.7096198E+001, 2.7257015E+001, 2.7060595E+001, 2.7163515E+001, 2.7041511E+001, 2.7113287E+001, 2.7035847E+001, 2.7072635E+001, 2.7032388E+001, 2.7077605E+001, 2.7020304E+001, 2.7048896E+001, 2.7018053E+001, 2.7039090E+001, 2.7016280E+001, 2.7036646E+001
 6.4052676E+000, 2.9604369E+001, 2.7031043E+001, 2.9675469E+001, 2.7373265E+001, 2.8177602E+001, 2.7017557E+001, 2.7914983E+001, 2.7124634E+001, 2.7185818E+001, 2.7488457E+001, 2.7122205E+001, 2.7332171E+001, 2.7103123E+001, 2.7275706E+001, 2.7065395E+001, 2.7176054E+001, 2.7044310E+001, 2.7122311E+001, 2.7039585E+001, 2.7078547E+001, 2.7035084E+001, 2.7083682E+001, 2.7022178E+001, 2.7052924E+001, 2.7019970E+001, 2.7042570E+001, 2.7018142E+001, 2.7040056E+001
 6.8019938E+000, 2.9493031E+001, 2.7034768E+001, 2.9788781E+001, 2.7979067E+001, 2.8169529E+001, 2.7019729E+001, 2.7986939E+001, 2.7314385E+001, 2.7198681E+001, 2.7522464E+001, 2.7131194E+001, 2.7355093E+001, 2.7110180E+001, 2.7294946E+001, 2.7070773E+001, 2.7189040E+001, 2.7047811E+001, 2.7131668E+001, 2.7043406E+001, 2.7084545E+001, 2.7037808E+001, 2.7089791E+001, 2.7024181E+001, 2.7057078E+001, 2.7022015E+001, 2.7046197E+001, 2.7020259E+001, 2.7043583E+001
 7.2025691E+000, 2.9401182E+001, 2.7086615E+001, 2.9732606E+001, 2.8720667E+001, 2.8163504E+001, 2.7036571E+001, 2.8005089E+001, 2.7566264E+001, 2.7210392E+001, 2.7554135E+001, 2.7139664E+001, 2.7376053E+001, 2.7116652E+001, 2.7312771E+001, 2.7076286E+001, 2.7201287E+001, 2.7052145E+001, 2.7140792E+001, 2.7047264E+001, 2.7090531E+001, 2.7040555E+001, 2.7095952E+001, 2.7026240E+001, 2.7061148E+001, 2.7024149E+001, 2.7049774E+001, 2.7022555E+001, 2.7047147E+001
